BAS ID,GEOID for TIGERweb,Name,MTDB Expanded Lsad,Tribe Name,State FIPS,State Abbreviation,County FIPS,County Name,ANSI Code
49901812695,2695,Passamaquoddy Trust Land,Trust Land,Passamaquoddy Tribe - Pleasant Point Reservation,23,ME,009,Hancock,02419052
49901812695,2695,Passamaquoddy Trust Land,Trust Land,Passamaquoddy Tribe - Pleasant Point Reservation,23,ME,029,Washington,02419052
49901812695,2695,Passamaquoddy Trust Land,Trust Land,Passamaquoddy Tribe - Pleasant Point Reservation,23,ME,017,Oxford,02419052
49901812695,2695,Passamaquoddy Trust Land,Trust Land,Passamaquoddy Tribe - Pleasant Point Reservation,23,ME,007,Franklin,02419052
49902143220,3220,Rohnerville Rancheria,Trust Land,"Bear River Band of the Rohnerville Rancheria, California",06,CA,023,Humboldt,00231831
49902874530,4530,Wampanoag-Aquinnah,Trust Land,Wampanoag Tribe of Gay Head (Aquinnah),25,MA,007,Dukes,02419514
49905940115,0115,Aroostook Band of Micmac Trust Land,Trust Land,Aroostook Band of Micmacs,23,ME,003,Aroostook,02562463
49906602900,2900,Ponca (NE) Trust Land,Trust Land,Ponca Tribe of Nebraska,31,NE,107,Knox,02419061
49906602900,2900,Ponca (NE) Trust Land,Trust Land,Ponca Tribe of Nebraska,31,NE,109,Lancaster,02419061
49906602900,2900,Ponca (NE) Trust Land,Trust Land,Ponca Tribe of Nebraska,19,IA,155,Pottawattamie,02419061
49909332147,2147,Mashpee Wampanoag Trust Land,Trust Land,Mashpee Wampanoag Tribe,25,MA,001,Barnstable,02786720
49909332147,2147,Mashpee Wampanoag Trust Land,Trust Land,Mashpee Wampanoag Tribe,25,MA,005,Bristol,02786720
49900370560,0560,Celilo Village,Village,Confederated Tribes of the Umatilla Indian Reservation,41,OR,065,Wasco,02419333
49900380560,0560,Celilo Village,Village,Confederated Tribes of the Warm Springs Reservation of Orego,41,OR,065,Wasco,02419333
49900390560,0560,Celilo Village,Village,Confederated Tribes and Bands of the Yakama Nation,41,OR,065,Wasco,02419333
49902043070,3070,Ramona Village,Village,"Ramona Band of Cahuilla, California",06,CA,065,Riverside,00273181
49902272510,2510,"Ohkay Owingeh, New Mexico",,Ohkay Owingeh,35,NM,039,Rio Arriba,01934344
